donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
pilot/VD,0.6098442277664726,0.3919587686820845,0.7867511199019971,0.42540309536304827,0.8073057797529669,0.3017261967338486,20.835115131578952,0.10984422776647262,True
AS,0.6714525411170497,0.9267353133774436,0.7867511199019971,0.3986901248093871,0.5572524607747842,0.343846737417775,14.584292763157901,0.17145254111704966,True
pilot/NKa,0.7245839005455073,0.6389178173915123,0.7867511199019971,0.5099761653659565,0.8296171481615835,0.6210960873443009,15.131990131578949,0.22458390054550725,False
GS,0.7294862259135418,0.5258042575240445,0.7867511199019971,0.5058891563922171,0.7930835750868463,0.4403508840303655,18.093338815789476,0.22948622591354184,True
FD,0.762815317802539,0.4296537344036202,0.7867511199019971,0.4545483746814363,0.8247983889194159,0.6201609553752785,21.711348684210535,0.262815317802539,False
pilot/AH,0.8009523345522876,0.4283614899878181,0.7867511199019971,0.48746421101874904,0.7530583821842733,0.03862007959290001,25.11143092105264,0.30095233455228765,True
CO,0.8460439458148552,0.45057389489804706,0.7867511199019971,0.49935672112393004,0.6228291207408887,0.17368181320142612,23.904605263157897,0.3460439458148552,True
