donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
GS,0.2638264490716415,0.3043560392962899,0.5807382347464966,0.29084470911666627,0.8806565813909322,1.086714244084269,4.933799342105264,0.2361735509283585,False
CO,0.2677819624590406,0.4493639944765794,0.5807382347464966,0.3349131804592893,0.8430802121050729,0.8376428147622734,0.9876644736842108,0.23221803754095938,False
FD,0.336246967694225,0.5198590547381204,0.5807382347464966,0.33816746055588554,0.8145276223812667,0.9271197446957271,14.144736842105264,0.16375303230577498,False
pilot/VD,0.34319675153514406,0.4748906924350084,0.5807382347464966,0.3541022178005865,0.7922545504136498,0.4877401784010096,13.485197368421055,0.15680324846485594,True
pilot/AH,0.3752555897991843,0.48892035792410177,0.5807382347464966,0.33780557432127456,0.7858833036502784,0.46661248832719204,13.486842105263161,0.12474441020081573,True
pilot/NKa,0.3982091673179311,0.6601470953541628,0.5807382347464966,0.419739517905642,0.7262493324628994,0.9333565354725841,7.017269736842106,0.1017908326820689,False
AS,0.5218044385855738,0.9227959466923317,0.5807382347464966,0.37660015462032953,0.6786032224901077,0.8894808494415086,-7.7853618421052655,0.021804438585573793,False
PF,0.785719501131108,0.8264106383092212,0.5807382347464966,0.34641166133968865,0.44897451817993983,0.8964916135600871,-12.064555921052634,0.285719501131108,False
