donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
CO,0.36082270009926765,0.4354047017470963,0.288583022435172,0.22347623958035306,0.7436724740033908,0.6236153517633917,-2.5230263157894752,0.13917729990073235,False
FD,0.3627391852591223,0.5083157902184083,0.288583022435172,0.20170169247841613,0.8168477433461974,0.857792601142918,10.307154605263158,0.1372608147408777,False
pilot/VD,0.38212543390883236,0.49277260694780367,0.288583022435172,0.20424039723013793,0.7941892819383513,0.46575628918243916,11.405016447368425,0.11787456609116764,True
pilot/AH,0.4059585518341642,0.4562727949100772,0.288583022435172,0.23367734003368928,0.7524773302125876,0.3744616966383646,10.965049342105265,0.09404144816583582,True
pilot/NKa,0.6850750515964303,0.6537549313005281,0.288583022435172,0.2654891688387398,0.5796978373451633,0.7420869473672477,3.2907072368421053,0.18507505159643034,False
AS,0.7300918336380644,0.8436380212306545,0.288583022435172,0.2345914791026856,0.4596882098219643,0.5378460939179251,-8.444078947368423,0.2300918336380644,False
PF,0.9680503494973635,0.8639513571326487,0.288583022435172,0.2329164599547711,0.4186306872166944,0.8999493029269627,-17.872121710526322,0.46805034949736346,False
