day,block,n_trials,ele_mean_abs_error,ele_final_error,ele_final_bias,ele_efficiency,ele_dir_correct,success_rate,ele_mean_abs_error_ci_lo,ele_mean_abs_error_ci_hi
1,0,76,16.52631035391868,11.819875616776315,-3.6409590871710527,0.2759187126772325,0.49295774647887325,0.8157894736842105,14.78551028592396,18.217624696937033
1,1,63,13.745394316056565,14.876674107142858,-1.2881324404761905,0.2726510447025969,0.7142857142857143,0.8571428571428571,12.507359203240428,14.996794867570003
1,2,57,14.447400120018873,16.73252467105263,-4.010142543859649,0.2977274231983972,0.6666666666666666,0.9473684210526315,12.795761242644401,16.416914818384008
2,0,77,14.78673333667544,16.181310876623378,-1.0948660714285714,0.2740292013043503,0.56,0.5714285714285714,13.415912273447038,16.21228081124291
