donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
GS,0.31821405967980465,0.6573911435683213,0.6043599555325845,0.3756485255814499,0.7687421132121279,1.022793998993903,6.140625,0.18178594032019535,False
pilot/NKa,0.36651876282676743,0.6586160527579024,0.6043599555325845,0.3859887204577257,0.8012428245190579,0.9639517614871066,9.43174342105263,0.13348123717323257,False
FD,0.3713025761699632,0.5944705556863269,0.6043599555325845,0.29848427433929947,0.7803061913966542,0.9832289084956931,16.777549342105264,0.1286974238300368,False
pilot/AH,0.4517989308274569,0.516646600231613,0.6043599555325845,0.33658521501871586,0.713081300812467,0.6191830516821055,18.09292763157895,0.048201069172543076,False
CO,0.4642042334766074,0.4456615656441482,0.6043599555325845,0.3573266208258483,0.6510499842411132,0.6754961581667774,13.050164473684212,0.035795766523392614,False
pilot/VD,0.5207794724781578,0.5446646117535975,0.6043599555325845,0.33952948110513737,0.8061615928195435,0.8174995896726467,10.746299342105267,0.020779472478157812,False
AS,0.669585230988698,0.8337997866024447,0.6043599555325845,0.2847065353372445,0.3733320724195117,0.606195333777561,-5.920641447368421,0.16958523098869804,False
PF,0.7348569271927028,0.8626526111442432,0.6043599555325845,0.3426314750211482,0.5754663003873741,1.0017386804533372,-13.706825657894738,0.2348569271927028,False
