donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
FD,0.2675635179401038,0.4677737213382885,0.40040263804275317,0.27762500431271103,0.8101538076450245,0.9919685357975903,9.211759868421053,0.2324364820598962,False
pilot/AH,0.27524800277825534,0.44606425026484525,0.40040263804275317,0.26795982257297946,0.8485551668058826,0.6788058484881481,13.597450657894736,0.22475199722174466,False
GS,0.2949483435533946,0.2762203755048468,0.40040263804275317,0.24717400838048448,0.7889855480311171,0.755242422189872,15.023437500000004,0.2050516564466054,False
pilot/NKa,0.29737419919126257,0.6198853455154163,0.40040263804275317,0.324238134609807,0.8660812184219818,1.1876177979902818,-1.3145559210526325,0.20262580080873743,False
pilot/VD,0.3393776837851824,0.3361641078785182,0.40040263804275317,0.2965104708026273,0.8436057259687717,0.8842022168185033,13.48643092105263,0.1606223162148176,False
CO,0.3634534948707109,0.45115744815355496,0.40040263804275317,0.28269514699955745,0.7971471814421198,0.5868951605841445,7.455592105263161,0.13654650512928912,False
AS,0.6914924538007936,0.9342404610935939,0.40040263804275317,0.24866904381047758,0.5493931132079669,0.370259633738869,-7.128700657894738,0.1914924538007936,True
PF,0.7742143217775499,0.672960945004861,0.40040263804275317,0.2452246263165579,0.578520306378735,0.7991016679936429,-16.77508223684211,0.2742143217775499,False
