donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
pilot/VD,0.6098442277664726,0.39195876868208485,0.786751119901997,0.4254030953630482,0.807305779752967,0.3017261967338486,20.83511513157895,0.10984422776647262,True
AS,0.6714525411170497,0.9267353133774439,0.786751119901997,0.39869012480938715,0.5572524607747843,0.3438467374177749,14.584292763157901,0.17145254111704966,True
pilot/NKa,0.7245839005455073,0.6389178173915125,0.786751119901997,0.5099761653659565,0.8296171481615835,0.6210960873443009,15.131990131578949,0.22458390054550725,False
GS,0.7421855506122053,0.2553241394328778,0.786751119901997,0.4738027477446392,0.8031510411362758,0.23772703115246718,26.097039473684212,0.24218555061220526,True
FD,0.762815317802539,0.4296537344036206,0.786751119901997,0.45454837468143616,0.8247983889194159,0.6201609553752787,21.711348684210527,0.262815317802539,False
pilot/AH,0.8009523345522875,0.4283614899878186,0.786751119901997,0.4874642110187488,0.7530583821842731,0.038620079592899995,25.111430921052634,0.30095233455228754,True
CO,0.846043945814855,0.4505738948980472,0.786751119901997,0.4993567211239299,0.6228291207408891,0.17368181320142614,23.904605263157897,0.346043945814855,True
