donor,vsi_dissimilarity,vsi,own_vsi,i_sim,peak_r,ridge_slope,ridge_bias,distance,eligible
pilot/VD,0.3250115146431874,0.4641307083027686,0.5976413222686552,0.31664600553837835,0.8529558877530927,0.6789571405124153,11.732319078947372,0.1749884853568126,False
FD,0.3346213246226233,0.5105175378237934,0.5976413222686552,0.2913675978393204,0.8548102511293046,1.003460945345877,14.144325657894736,0.16537867537737672,False
CO,0.38038461971817106,0.4781187784980771,0.5976413222686552,0.342688056824727,0.6955463537399742,0.4780062195118885,7.786184210526317,0.11961538028182894,True
pilot/NKa,0.43105568395361044,0.6873568242521959,0.5976413222686552,0.4063264902386769,0.744092854779357,0.8052068999523001,6.689967105263158,0.06894431604638956,False
pilot/AH,0.43584799552827924,0.5146756746273615,0.5976413222686552,0.3507349251550994,0.7641328450248384,0.4974379515235048,15.57319078947369,0.06415200447172076,True
AS,0.5567858105887948,0.9590682100335745,0.5976413222686552,0.319842351343123,0.5372769191476114,0.6807287384201234,-4.825246710526317,0.05678581058879484,False
PF,0.7430431099430661,0.7912311412951913,0.5976413222686552,0.3713205539417405,0.7255872226753136,1.0858810587910919,-14.03453947368421,0.2430431099430661,False
