session_order,session_id,n_trials,mean_initial_error_deg,mean_ballistic_error_deg,mean_final_error_deg,mean_t_first_hit,mean_onset_latency_s,mean_peak_speed_deg_s,mean_path_length_deg,mean_tortuosity,mean_n_submovements,success_rate,learning_slope,initial_error_ci_lo,initial_error_ci_hi
0,16.06_10.43,11,33.2473794443576,33.36778603698204,14.51127532701824,6.736247698465983,0.6603533571416681,70.34556856768823,152.32644619271443,7.792156118412668,4.818181818181818,0.2727272727272727,-1.8407879828736908,26.640550916304306,39.23941598973349
1,17.06_11.06,196,32.69844098250215,31.387744714149914,23.023654252959528,4.7314649988623225,0.18348092205670416,118.5224671874368,150.40989346902796,19.382488151188504,4.801020408163265,0.8673469387755102,-1.8407879828736908,31.458291390158372,33.82602015690392
2,18.06_09.45,77,29.56580347861022,28.45671933787795,21.941015195667017,4.2740401979220115,0.1076654087413441,99.60371719548773,150.9908466030343,16.798789194228952,5.623376623376624,0.5714285714285714,-1.8407879828736908,27.099424315764594,31.926567680018874
