session_id,trial_idx,initial_error_deg,ballistic_error_deg,min_error_deg,final_error_deg,onset_latency_s,time_to_peak_s,t_first_hit,movement_time_s,settle_time_s,peak_speed_deg_s,mean_speed_deg_s,path_length_deg,tortuosity,n_submovements,target_ele_deg,ele_mean_abs_error_deg,ele_initial_error_deg,ele_min_error_deg,ele_final_error_deg,ele_final_bias_deg,ele_efficiency,ele_initial_dir_correct,reached_target,success,session_order
16.06_10.43,0,14.967577671342022,15.009683153847927,6.231579299536054,8.272640719423046,0.960015058517456,2.8478848934173584,,,,78.42258939317234,21.486039941783048,212.0519449597926,29.468361925839524,8,12.5,9.383092636090094,12.5703125,0.0234375,5.6953125,-5.6953125,0.09872141627735431,False,False,False,0
16.06_10.43,1,35.40169959864436,37.087789774946486,12.718951549385862,34.10327351091323,0.85288405418396,7.547203540802002,,,,85.44963431113493,30.08475607701635,301.23758659530415,16.79210221504379,3,-20.828125,19.838534613929944,20.3046875,0.0625,30.8671875,30.8671875,0.1326133688197359,True,False,False,0
16.06_10.43,2,31.119486247629574,30.837552608449755,5.640625,7.968213830001363,0.43775033950805664,4.421290159225464,,,,71.21450606599119,22.310518510672107,223.9275150293916,5.73614035105978,7,25.0,22.780114925884654,25.0234375,0.015625,5.765625,5.765625,0.1872915569598034,False,False,False,0
16.06_10.43,3,33.383499949041536,33.13917094435083,4.653024260158655,16.419852991596027,0.41680359840393066,5.318633317947388,,,,82.68449308945846,19.867647738045534,199.08182919865314,7.957204616693632,6,-12.5,14.606794647987385,12.0703125,0.015625,6.953125,-6.953125,0.10236847342931069,False,False,False,0
16.06_10.43,4,42.78126783349701,42.999454938405904,1.0606601717798212,2.4315331615310125,0.6519978046417236,1.1320335865020752,8.634585618972778,7.982587814331055,8.634585618972778,62.19460415181238,10.852714103268896,109.27625636616742,2.7039219012649482,3,25.0,12.667776347015485,24.6015625,0.0625,0.921875,-0.921875,0.48330512386521,,True,True,0
16.06_10.43,5,26.780494492333524,26.751224097649366,8.659704297239312,10.163615117940319,1.112952709197998,4.6409430503845215,,,,49.46083548744738,14.368546756112186,143.0728527737237,5.265184055229949,6,-25.0,20.976526721368046,25.0859375,0.046875,4.953125,4.953125,0.24785399427731808,False,False,False,0
16.06_10.43,6,48.68410008989074,48.873921648310116,6.181835317332952,6.181835317332952,0.45954370498657227,3.9694910049438477,,,,172.69488846910485,21.650213139046166,219.4476180508338,5.064710781016769,7,33.34375,43.797187047868675,33.96875,5.890625,5.890625,-5.890625,0.18808875863512664,False,False,False,0
16.06_10.43,7,13.029413839463386,13.080514268010452,6.276370150463164,6.366415789123422,0.5396983623504639,0.5396983623504639,,,,22.10691945221704,10.161773597828248,37.02262684020989,2.4558416124713314,2,-8.328125,7.348933265712552,8.5,3.953125,4.375,4.375,0.26430517711171664,,False,False,0
16.06_10.43,8,36.36243675333964,36.52781557984485,1.3975424859373686,14.424661584120656,1.101693868637085,9.82268500328064,8.531028985977173,7.429335117340088,8.531028985977173,60.03324203872789,12.229420826781423,121.25362766525416,5.523994798893164,5,25.0,15.217134672684402,24.765625,0.03125,9.4765625,-9.4765625,0.2944842340247419,True,True,True,0
16.06_10.43,9,42.94193765732545,42.6700591487041,1.8773422869844487,17.071170602001967,0.4995260238647461,1.7840042114257812,3.043128490447998,2.543602466583252,3.043128490447998,61.311442200318986,13.596988983095615,96.86088775401193,3.743863596724889,4,-25.0,10.2249446843933,24.703125,0.0,9.9453125,9.9453125,0.4215437941607786,True,True,True,0
16.06_10.43,10,40.26925975542635,40.06846024428261,36.19087648863488,36.22081597321663,0.23102140426635742,0.6348018646240234,,,,28.228099585185007,15.480505759129151,12.358162886516173,1.0023914483015728,2,33.34375,34.166621295440976,33.3125,33.3125,34.703125,-34.703125,0.0,,False,False,0
17.06_11.06,11,35.555122884131116,35.75094325815273,1.441908999382416,9.27282867104208,1.1580088138580322,1.3217027187347412,3.4227027893066406,2.2646939754486084,3.4227027893066406,63.52437512640507,15.470211218133567,75.49994326240031,2.8661160827115557,2,25.0,15.407226139415856,24.77734375,0.0625,5.78125,-5.78125,0.6011972633979475,False,True,True,1
17.06_11.06,12,24.06945232673228,24.07213441267485,3.3108781406901704,12.341534611323667,0.5704388618469238,0.7162072658538818,1.640674114227295,1.070235252380371,1.640674114227295,50.67042296390183,13.58940478669972,128.87394187782849,4.009642528120142,4,-16.671875,7.845143413997422,16.525390625,0.0,12.03125,-12.03125,0.2744493820753187,True,True,True,1
17.06_11.06,13,45.60089260365415,50.60869963272742,13.820142469982898,38.38295163953001,0.0,0.04139113426208496,,,,73.59586113805061,18.793751735374883,187.9760471337601,7.94603637371486,6,33.34375,10.486733294215691,24.4375,0.0,0.78125,-0.78125,0.2033017028467438,True,False,False,1
17.06_11.06,14,11.728186304962342,11.703224741939785,1.015625,6.8586286342944724,0.4153621196746826,4.445807218551636,2.0673866271972656,1.652024507522583,2.0673866271972656,30.59037370053335,9.853408205329252,44.90453294520454,8.887974846622058,3,8.328125,5.2799345601769,8.3359375,0.234375,4.09765625,-4.09765625,0.27753245015388733,True,True,True,1
17.06_11.06,15,39.477905468015926,39.44899904941793,1.5,3.771941020548969,0.5409972667694092,3.432812452316284,5.87394118309021,5.332943916320801,5.87394118309021,33.91169616828256,9.486963009002695,69.68015566005565,1.9480086955488511,3,-20.828125,8.303935686611004,20.88671875,0.0,1.40625,1.40625,0.5548407180657882,True,True,True,1
17.06_11.06,16,36.069764250219414,36.09186362088977,1.8651433632900716,22.40618598535137,0.5391755104064941,8.510960817337036,7.189219951629639,6.6500444412231445,7.189219951629639,87.57875293538838,11.13894057760044,92.8525145322134,6.599896553258451,3,12.5,8.038911572101048,12.7265625,0.015625,5.3828125,-5.3828125,0.26541598694942903,False,True,True,1
17.06_11.06,17,9.058835465996719,9.062503367456271,0.5836021167405603,4.848562692248504,1.0214247703552246,1.3353853225708008,5.332818031311035,4.3113932609558105,5.332818031311035,26.107017481185046,8.731053327231335,58.75724340577041,12.730226046008653,2,-4.171875,4.703964947326077,4.25,0.06640625,0.97265625,0.97265625,0.15182874964559115,,True,True,1
17.06_11.06,18,44.565220047595695,44.64259175423349,1.874544215436115,22.823928269694424,0.49971842765808105,7.4133141040802,6.041060447692871,5.54134202003479,6.041060447692871,85.34312223583753,12.11537515721722,89.98767783518122,4.0998874587226135,3,29.171875,14.815674999033199,29.390625,0.015625,13.3671875,-13.3671875,0.55342949661466,True,True,True,1
17.06_11.06,19,33.660375485697344,33.68721379032885,1.3600932010803524,14.496371111096218,0.6505637168884277,9.401003122329712,8.224213123321533,7.5736494064331055,8.224213123321533,43.59366748093019,11.140483174759558,106.60606839242865,4.062548142172101,6,-29.171875,18.757875688603004,28.904296875,0.015625,13.859375,13.859375,0.4376423942953517,True,True,True,1
17.06_11.06,20,21.969295923604523,21.674294444637674,0.5287163848652697,17.08700065636635,0.3751237392425537,7.6104161739349365,6.374808311462402,5.999684572219849,6.374808311462402,58.924421963984365,16.70828202562841,126.44505418869431,25.066677898927935,4,20.828125,19.9803890417941,20.4609375,0.015625,15.47265625,-15.47265625,0.20802034895274432,False,True,True,1
17.06_11.06,21,23.832632770334566,23.709767848518975,0.30338262248355624,13.29525915563984,0.4186701774597168,4.776900768280029,3.424868106842041,3.006197929382324,3.424868106842041,51.25545388106465,16.40444206129385,79.1223234461838,6.916224218192921,3,-16.671875,8.259883981104409,16.703125,0.015625,6.671875,6.671875,0.42105263157894735,True,True,True,1
17.06_11.06,22,34.159145612908794,34.085636673552195,1.1251085017121683,19.71288046557377,0.4210078716278076,4.398160219192505,6.139082908630371,5.7180750370025635,6.139082908630371,75.96270797632481,18.168262014907054,137.17066508456725,9.422166505228835,4,29.171875,27.86841034752401,29.3359375,0.015625,16.1875,-16.1875,0.27892976588628765,False,True,True,1
17.06_11.06,23,30.26151100758047,30.25014130110093,1.6500473478055107,8.26513762740827,0.39688801765441895,6.207060813903809,8.097322702407837,7.700434684753418,8.097322702407837,78.7416323166053,14.999567075327134,142.4907441998387,6.053898226780301,5,-25.0,18.173108865514564,25.03515625,1.3125,8.25,8.25,0.24081050001982632,False,True,True,1
17.06_11.06,24,46.90949007822846,46.59530504012423,43.4319079415285,43.4319079415285,0.5630397796630859,0.625774621963501,,,,30.926873274568745,10.295240216649903,6.861277014439814,0.9580949051672585,1,33.34375,33.59629785863008,33.08984375,33.08984375,34.6015625,-34.6015625,0.0,,False,False,1
17.06_11.06,25,40.06756854912058,40.029103182091156,2.0233620883630787,4.034549279736833,0.43912339210510254,4.778666257858276,8.660703182220459,8.221579790115356,8.660703182220459,72.2741843132437,21.093322373022676,209.39017678232975,5.8082289031550065,5,-20.828125,20.26845232264326,20.79296875,0.046875,2.390625,2.390625,0.17223933841413977,False,True,True,1
17.06_11.06,26,30.859758947374154,30.692703582816815,3.117647600756057,27.13427013432748,0.2905271053314209,8.534986019134521,7.3699493408203125,7.079422235488892,7.3699493408203125,85.49481182818208,18.211139536451448,159.68860523344267,38.122900292268746,5,25.0,24.720715169094795,25.06640625,0.078125,20.9453125,-20.9453125,0.23481261241419815,False,True,True,1
17.06_11.06,27,42.20526865571436,41.931408822109525,1.46875,20.775046066435088,0.24864912033081055,0.8920741081237793,6.3210673332214355,6.072418212890625,6.3210673332214355,98.1721670114767,18.173133112747255,165.7155690963115,7.732724510737223,5,-33.34375,19.641399945296754,33.630859375,0.03125,16.59375,16.59375,0.29768641090865045,False,True,True,1
17.06_11.06,28,12.462018100677016,11.53456890859934,0.511823104817475,11.217988989900956,0.06210017204284668,3.3802762031555176,4.114110708236694,4.052010536193848,4.114110708236694,55.278037746733254,22.937024081845188,226.4311102016115,11.735054191514582,5,8.328125,15.6205425554184,9.11328125,0.0703125,4.55859375,-4.55859375,0.06765642809129965,False,True,True,1
